symbol,net_pnl,avg_return,win_rate,trades
CL=F,2100.0,1.75,1.0,12
AUDUSD=X,1050.0,1.75,1.0,6
GBPUSD=X,1050.0,1.75,1.0,6
EURUSD=X,450.0,0.75,0.6666666666666666,6
BA,450.0,0.75,0.6666666666666666,6
XOM,450.0,0.75,0.6666666666666666,6
TSLA,450.0,0.75,0.6666666666666666,6
JPM,450.0,0.75,0.6666666666666666,6
UNH,450.0,0.75,0.6666666666666666,6
GOOGL,150.0,0.25,0.3333333333333333,6
AMZN,150.0,0.25,0.3333333333333333,6
NVDA,150.0,0.25,0.3333333333333333,6
USDJPY=X,150.0,0.25,0.3333333333333333,6
MSFT,0.0,0.0,0.0,6
ES=F,0.0,0.0,0.0,6
AMD,0.0,0.0,0.0,6
MES=F,0.0,0.0,0.0,6
HD,0.0,0.0,0.0,6
QQQ,0.0,0.0,0.0,6
NFLX,0.0,0.0,0.0,6
AAPL,-450.0,-0.375,0.3333333333333333,12
META,-450.0,-0.375,0.16666666666666666,12
SPY,-450.0,-0.375,0.3333333333333333,12
SI=F,-450.0,-0.375,0.16666666666666666,12
GLD,-750.0,-0.625,0.16666666666666666,12
GC=F,-750.0,-0.625,0.16666666666666666,12
