symbol,net_pnl,avg_return,win_rate,trades
AUDUSD=X,1050.0,1.75,1.0,6
ES=F,1050.0,1.75,1.0,6
CL=F,1050.0,1.75,1.0,6
BA,1050.0,1.75,1.0,6
GBPUSD=X,1050.0,1.75,1.0,6
GC=F,1050.0,1.75,1.0,6
GLD,1050.0,1.75,1.0,6
EURUSD=X,1050.0,1.75,1.0,6
GOOGL,1050.0,1.75,1.0,6
MES=F,1050.0,1.75,1.0,6
SPY,1050.0,1.75,1.0,6
MSFT,450.0,0.75,0.6666666666666666,6
XOM,450.0,0.75,0.6666666666666666,6
SI=F,450.0,0.75,0.6666666666666666,6
NVDA,450.0,0.75,0.6666666666666666,6
HD,450.0,0.75,0.6666666666666666,6
QQQ,450.0,0.75,0.6666666666666666,6
AAPL,150.0,0.25,0.3333333333333333,6
NFLX,150.0,0.25,0.3333333333333333,6
USDJPY=X,150.0,0.25,0.3333333333333333,6
JPM,0.0,0.0,0.0,6
AMZN,-450.0,-0.375,0.3333333333333333,12
UNH,-450.0,-0.375,0.3333333333333333,12
META,-450.0,-0.375,0.3333333333333333,12
AMD,-750.0,-0.625,0.16666666666666666,12
TSLA,-900.0,-0.75,0.0,12
