symbol,net_pnl,avg_return,win_rate,trades
AMD,1050.0,1.75,1.0,6
EURUSD=X,1050.0,1.75,1.0,6
ES=F,1050.0,1.75,1.0,6
BA,1050.0,1.75,1.0,6
QQQ,1050.0,1.75,1.0,6
SPY,1050.0,1.75,1.0,6
MES=F,1050.0,1.75,1.0,6
GLD,450.0,0.75,0.6666666666666666,6
AMZN,450.0,0.75,0.6666666666666666,6
GC=F,450.0,0.75,0.6666666666666666,6
UNH,450.0,0.75,0.6666666666666666,6
AAPL,150.0,0.25,0.3333333333333333,6
XOM,150.0,0.25,0.3333333333333333,6
META,150.0,0.25,0.3333333333333333,6
NFLX,0.0,0.0,0.0,6
MSFT,0.0,0.0,0.0,6
JPM,0.0,0.0,0.0,6
GOOGL,0.0,0.0,0.0,6
TSLA,0.0,0.0,0.0,6
NVDA,0.0,0.0,0.0,6
HD,0.0,0.0,0.0,6
GBPUSD=X,-750.0,-0.625,0.3333333333333333,12
USDJPY=X,-1350.0,-1.125,0.16666666666666666,12
AUDUSD=X,-1800.0,-1.5,0.0,12
CL=F,-1800.0,-1.5,0.0,12
SI=F,-1800.0,-1.5,0.0,12
