symbol,net_pnl,avg_return,win_rate,trades
AUDUSD=X,1050.0,1.75,1.0,6
ES=F,1050.0,1.75,1.0,6
MES=F,1050.0,1.75,1.0,6
SPY,1050.0,1.75,1.0,6
XOM,1050.0,1.75,1.0,6
USDJPY=X,1050.0,1.75,1.0,6
NVDA,600.0,0.5,0.6666666666666666,12
NFLX,450.0,0.75,0.6666666666666666,6
META,450.0,0.75,0.6666666666666666,6
JPM,450.0,0.75,0.6666666666666666,6
AMD,450.0,0.75,0.6666666666666666,6
SI=F,150.0,0.125,0.5,12
MSFT,150.0,0.25,0.3333333333333333,6
QQQ,150.0,0.125,0.5,12
GOOGL,150.0,0.25,0.3333333333333333,6
HD,0.0,0.0,0.0,6
TSLA,-450.0,-0.375,0.3333333333333333,12
EURUSD=X,-750.0,-0.625,0.3333333333333333,12
GBPUSD=X,-750.0,-0.625,0.3333333333333333,12
AAPL,-750.0,-0.625,0.16666666666666666,12
UNH,-750.0,-0.625,0.16666666666666666,12
BA,-900.0,-0.75,0.0,12
GC=F,-1350.0,-1.125,0.16666666666666666,12
GLD,-1350.0,-1.125,0.16666666666666666,12
CL=F,-1800.0,-1.5,0.0,12
