symbol,net_pnl,avg_return,win_rate,trades
AUDUSD=X,1050.0,1.75,1.0,6
BA,1050.0,1.75,1.0,6
HD,1050.0,1.75,1.0,6
GC=F,450.0,0.75,0.6666666666666666,6
GLD,450.0,0.75,0.6666666666666666,6
MSFT,450.0,0.75,0.6666666666666666,6
XOM,450.0,0.75,0.6666666666666666,6
SI=F,450.0,0.75,0.6666666666666666,6
UNH,450.0,0.75,0.6666666666666666,6
AMZN,450.0,0.75,0.6666666666666666,6
AMD,150.0,0.25,0.3333333333333333,6
SPY,150.0,0.125,0.5,12
EURUSD=X,150.0,0.125,0.5,12
ES=F,150.0,0.125,0.5,12
GBPUSD=X,150.0,0.125,0.5,12
AAPL,150.0,0.25,0.3333333333333333,6
NFLX,150.0,0.25,0.3333333333333333,6
MES=F,150.0,0.125,0.5,12
GOOGL,150.0,0.125,0.5,12
JPM,0.0,0.0,0.0,6
META,-450.0,-0.375,0.3333333333333333,12
QQQ,-450.0,-0.375,0.3333333333333333,12
TSLA,-750.0,-0.625,0.16666666666666666,12
CL=F,-900.0,-0.75,0.0,12
USDJPY=X,-1800.0,-1.5,0.0,12
