symbol,net_pnl,avg_return,win_rate,trades
AMD,1050.0,1.75,1.0,6
CL=F,1050.0,1.75,1.0,6
GBPUSD=X,1050.0,1.75,1.0,6
USDJPY=X,1050.0,1.75,1.0,6
NVDA,450.0,0.75,0.6666666666666666,6
AMZN,450.0,0.75,0.6666666666666666,6
GOOGL,150.0,0.125,0.5,12
SI=F,150.0,0.125,0.5,12
UNH,150.0,0.25,0.3333333333333333,6
AAPL,-300.0,-0.25,0.3333333333333333,12
AUDUSD=X,-300.0,-0.25,0.5,12
META,-300.0,-0.25,0.3333333333333333,12
XOM,-450.0,-0.375,0.3333333333333333,12
HD,-450.0,-0.375,0.16666666666666666,12
QQQ,-750.0,-0.625,0.3333333333333333,12
TSLA,-900.0,-0.75,0.0,12
JPM,-900.0,-0.75,0.0,12
BA,-1350.0,-1.125,0.16666666666666666,12
GLD,-1350.0,-1.125,0.16666666666666666,12
GC=F,-1350.0,-1.125,0.16666666666666666,12
ES=F,-1800.0,-1.5,0.0,12
EURUSD=X,-1800.0,-1.5,0.0,12
NFLX,-1800.0,-1.5,0.0,12
MSFT,-1800.0,-1.5,0.0,12
MES=F,-1800.0,-1.5,0.0,12
SPY,-1800.0,-1.5,0.0,12
