symbol,opening_range,tp_multiplier,risk_pct,trades,wins,net_pnl,avg_return_pct,win_rate,No Exit,SL,TP
QQQ,15m,0.5,0.02,2,2,200.0,1.0,1.0,0,0,2
MNQ=F,15m,0.5,0.02,2,2,200.0,1.0,1.0,0,0,2
SPY,15m,0.5,0.02,2,2,200.0,1.0,1.0,0,0,2
NQ=F,15m,0.5,0.02,2,2,200.0,1.0,1.0,0,0,2
GOOGL,15m,0.5,0.02,2,2,200.0,1.0,1.0,0,0,2
EURUSD=X,15m,2.0,0.02,2,1,200.0,1.0,0.5,0,1,1
AMZN,15m,0.5,0.02,1,1,100.0,1.0,1.0,0,0,1
GOOGL,15m,0.5,0.01,2,2,100.0,0.5,1.0,0,0,2
MSFT,15m,0.5,0.02,1,1,100.0,1.0,1.0,0,0,1
SPY,15m,0.5,0.01,2,2,100.0,0.5,1.0,0,0,2
QQQ,15m,0.5,0.01,2,2,100.0,0.5,1.0,0,0,2
NQ=F,15m,0.5,0.01,2,2,100.0,0.5,1.0,0,0,2
MNQ=F,15m,0.5,0.01,2,2,100.0,0.5,1.0,0,0,2
EURUSD=X,15m,2.0,0.01,2,1,100.0,0.5,0.5,0,1,1
AMZN,15m,0.5,0.01,1,1,50.0,0.5,1.0,0,0,1
MSFT,15m,0.5,0.01,1,1,50.0,0.5,1.0,0,0,1
AAPL,15m,2.0,0.01,1,0,0.0,0.0,0.0,1,0,0
AAPL,15m,2.0,0.02,1,0,0.0,0.0,0.0,1,0,0
AAPL,15m,1.0,0.01,1,0,0.0,0.0,0.0,1,0,0
AAPL,15m,1.0,0.02,1,0,0.0,0.0,0.0,1,0,0
AAPL,15m,0.5,0.02,1,0,0.0,0.0,0.0,1,0,0
AAPL,15m,0.5,0.01,1,0,0.0,0.0,0.0,1,0,0
AMZN,15m,1.0,0.01,1,0,0.0,0.0,0.0,1,0,0
AMZN,15m,1.0,0.02,1,0,0.0,0.0,0.0,1,0,0
MSFT,15m,1.0,0.01,1,0,0.0,0.0,0.0,1,0,0
MSFT,15m,1.0,0.02,1,0,0.0,0.0,0.0,1,0,0
QQQ,15m,1.0,0.01,2,1,0.0,0.0,0.5,0,1,1
QQQ,15m,1.0,0.02,2,1,0.0,0.0,0.5,0,1,1
SPY,15m,1.0,0.01,2,1,0.0,0.0,0.5,0,1,1
SPY,15m,1.0,0.02,2,1,0.0,0.0,0.5,0,1,1
MSFT,15m,2.0,0.01,1,0,0.0,0.0,0.0,1,0,0
MSFT,15m,2.0,0.02,1,0,0.0,0.0,0.0,1,0,0
MNQ=F,15m,1.0,0.01,2,1,0.0,0.0,0.5,0,1,1
MNQ=F,15m,1.0,0.02,2,1,0.0,0.0,0.5,0,1,1
GOOGL,15m,1.0,0.01,2,1,0.0,0.0,0.5,0,1,1
GOOGL,15m,1.0,0.02,2,1,0.0,0.0,0.5,0,1,1
EURUSD=X,15m,1.0,0.02,2,1,0.0,0.0,0.5,0,1,1
EURUSD=X,15m,1.0,0.01,2,1,0.0,0.0,0.5,0,1,1
AMZN,15m,2.0,0.01,1,0,0.0,0.0,0.0,1,0,0
AMZN,15m,2.0,0.02,1,0,0.0,0.0,0.0,1,0,0
TSLA,15m,2.0,0.01,1,0,0.0,0.0,0.0,1,0,0
TSLA,15m,2.0,0.02,1,0,0.0,0.0,0.0,1,0,0
TSLA,15m,1.0,0.02,1,0,0.0,0.0,0.0,1,0,0
TSLA,15m,1.0,0.01,1,0,0.0,0.0,0.0,1,0,0
TSLA,15m,0.5,0.01,1,0,0.0,0.0,0.0,1,0,0
TSLA,15m,0.5,0.02,1,0,0.0,0.0,0.0,1,0,0
EURUSD=X,15m,0.5,0.01,2,1,-50.0,-0.25,0.5,0,1,1
MNQ=F,15m,2.0,0.01,2,0,-100.0,-0.5,0.0,1,1,0
SPY,15m,2.0,0.01,2,0,-100.0,-0.5,0.0,1,1,0
QQQ,15m,2.0,0.01,2,0,-100.0,-0.5,0.0,1,1,0
NQ=F,15m,1.0,0.01,2,0,-100.0,-0.5,0.0,1,1,0
NQ=F,15m,2.0,0.01,2,0,-100.0,-0.5,0.0,1,1,0
GOOGL,15m,2.0,0.01,2,0,-100.0,-0.5,0.0,1,1,0
EURUSD=X,15m,0.5,0.02,2,1,-100.0,-0.5,0.5,0,1,1
GLD,15m,0.5,0.01,2,0,-200.0,-1.0,0.0,0,2,0
GC=F,15m,1.0,0.01,2,0,-200.0,-1.0,0.0,0,2,0
GC=F,15m,2.0,0.01,2,0,-200.0,-1.0,0.0,0,2,0
GLD,15m,1.0,0.01,2,0,-200.0,-1.0,0.0,0,2,0
GC=F,15m,0.5,0.01,2,0,-200.0,-1.0,0.0,0,2,0
MNQ=F,15m,2.0,0.02,2,0,-200.0,-1.0,0.0,1,1,0
NQ=F,15m,2.0,0.02,2,0,-200.0,-1.0,0.0,1,1,0
NQ=F,15m,1.0,0.02,2,0,-200.0,-1.0,0.0,1,1,0
GLD,15m,2.0,0.01,2,0,-200.0,-1.0,0.0,0,2,0
