symbol,net_pnl,avg_return,win_rate,trades
AUDUSD=X,1050.0,1.75,1.0,6
EURUSD=X,1050.0,1.75,1.0,6
USDJPY=X,1050.0,1.75,1.0,6
SI=F,1050.0,1.75,1.0,6
GBPUSD=X,600.0,0.5,0.6666666666666666,12
QQQ,600.0,0.5,0.6666666666666666,12
AMZN,600.0,0.5,0.6666666666666666,12
GLD,450.0,0.75,0.6666666666666666,6
GC=F,450.0,0.75,0.6666666666666666,6
META,450.0,0.75,0.6666666666666666,6
HD,450.0,0.75,0.6666666666666666,6
NVDA,150.0,0.125,0.5,12
GOOGL,150.0,0.25,0.3333333333333333,6
NFLX,150.0,0.25,0.3333333333333333,6
TSLA,150.0,0.25,0.3333333333333333,6
BA,0.0,0.0,0.0,6
ES=F,0.0,0.0,0.5,12
MSFT,0.0,0.0,0.0,6
MES=F,0.0,0.0,0.5,12
SPY,-300.0,-0.25,0.5,12
AMD,-450.0,-0.375,0.16666666666666666,12
XOM,-450.0,-0.375,0.16666666666666666,12
JPM,-750.0,-0.625,0.16666666666666666,12
AAPL,-900.0,-0.75,0.0,12
CL=F,-1800.0,-1.5,0.0,12
