symbol,net_pnl,avg_return,win_rate,trades
ES=F,1050.0,1.75,1.0,6
EURUSD=X,1050.0,1.75,1.0,6
MES=F,1050.0,1.75,1.0,6
JPM,1050.0,1.75,1.0,6
SPY,1050.0,1.75,1.0,6
TSLA,1050.0,1.75,1.0,6
USDJPY=X,1050.0,1.75,1.0,6
AMD,600.0,0.5,0.6666666666666666,12
AMZN,450.0,0.75,0.6666666666666666,6
AAPL,450.0,0.75,0.6666666666666666,6
GBPUSD=X,150.0,0.125,0.5,12
XOM,150.0,0.125,0.5,12
QQQ,150.0,0.125,0.5,12
META,150.0,0.125,0.5,12
UNH,0.0,0.0,0.0,6
NVDA,0.0,0.0,0.5,12
GC=F,-300.0,-0.25,0.3333333333333333,12
GLD,-300.0,-0.25,0.3333333333333333,12
BA,-450.0,-0.375,0.3333333333333333,12
NFLX,-750.0,-0.625,0.16666666666666666,12
MSFT,-900.0,-0.75,0.0,12
HD,-900.0,-0.75,0.3333333333333333,12
AUDUSD=X,-1350.0,-1.125,0.16666666666666666,12
CL=F,-1350.0,-1.125,0.16666666666666666,12
SI=F,-1350.0,-1.125,0.16666666666666666,12
GOOGL,-1800.0,-1.5,0.0,12
