symbol,net_pnl,avg_return,win_rate,trades
EURUSD=X,1050.0,1.75,1.0,6
USDJPY=X,1050.0,1.75,1.0,6
SI=F,1050.0,1.75,1.0,6
NFLX,1050.0,1.75,1.0,6
MSFT,600.0,0.5,0.6666666666666666,12
CL=F,450.0,0.75,0.6666666666666666,6
UNH,450.0,0.75,0.6666666666666666,6
META,150.0,0.125,0.5,12
GC=F,150.0,0.125,0.5,12
GLD,150.0,0.125,0.5,12
HD,0.0,0.0,0.0,6
NVDA,0.0,0.0,0.5,12
AUDUSD=X,-300.0,-0.25,0.5,12
BA,-450.0,-0.375,0.3333333333333333,12
AMZN,-750.0,-0.625,0.16666666666666666,12
AAPL,-750.0,-0.625,0.16666666666666666,12
GBPUSD=X,-900.0,-0.75,0.3333333333333333,12
GOOGL,-900.0,-0.75,0.0,12
SPY,-1350.0,-1.125,0.16666666666666666,12
ES=F,-1350.0,-1.125,0.16666666666666666,12
JPM,-1350.0,-1.125,0.16666666666666666,12
QQQ,-1350.0,-1.125,0.16666666666666666,12
MES=F,-1350.0,-1.125,0.16666666666666666,12
AMD,-1800.0,-1.5,0.0,12
TSLA,-1800.0,-1.5,0.0,12
XOM,-1800.0,-1.5,0.0,12
